text,favourite_count,retweet_count,created_at
 TaraHarrisonDub  NASA I don t think it is  it s a handy scapegoat  We learn in primary school about Bronze Age farming in Ireland where the fields were rotated and one was always left fallow to get new nutrients into it  Over farm it  no nutrients  turns to dust and is useless ,1,0,2023-01-02 01:24:37+00:00
There has been a call for tighter measures over puppy farming  transport and sales in Northern Ireland https   t co Trcfpp7xKe,21,2,2023-01-01 16:30:30+00:00
 MPIainDS Part 2 Maximise UK energy production   Liberate UK farming from delusional environmental restrictions   Reassert sovereignty of the Union of Great Britain and Northern Ireland by revoking the NI Protocol ,3,0,2023-01-01 16:23:02+00:00
 lindaosull88  oneilllo I m looking at it as an immigrant  so yeah  very odd  Ireland is such a small country so to be dividing each other based on school or where you come from is   silly  My thoughts  anyway  I come from a poor farming AND a rich business background  Neither better than the other ,3,0,2023-01-01 11:10:54+00:00
 wout_xyz  terrasea  RobScarLUFC  philipstephens Yes  Thats my point you dumpling  We were in a SM with Ireland for 40 years and farmers were fine despite trade gravity  Yet Austrailia deal hundreds of thousands of miles away will kill UK farming ,0,0,2023-01-01 08:59:33+00:00
I was in fact 16  They were teaching us about Ireland and farming it like the Irish guys were terrorists  I found myself sympathising with the  terrorists   https   t co QbhsKjw99d,3,0,2023-01-01 04:23:27+00:00
New herd health appointment for Northern Ireland   At AHV we are committed to working with dairy farmers    AD  AHVUK_IE  Farming  DairyFarms  HerdHealth  NorthernIreland  https   t co 84BqgXQy8N,0,0,2022-12-31 20:05:08+00:00
 ethicalfarmIE I wish that  exporting animals  and crating  become banned   it would demand a heck of a reorganisation  but it would have the ball rolling towards a more ethical farming   Ireland could be such an inspiration   land of scholars all over again  ,1,0,2022-12-31 13:57:35+00:00
 LoudestMouth69 So  you don t want Ireland to rear animals   You don t want Ireland to grow grain as it leads to the outrage of an Irish farmer earning enough money from it to make a profit  You want  sustainable   So  what is the yield per hectare from the  sustainable  farming you work on ,0,0,2022-12-31 12:32:57+00:00
Tillage  What s in store for farmers in Ireland    https   t co JUYYSvwbwm https   t co O3bpvk5Wsz,0,0,2022-12-31 08:44:33+00:00
And a big name from NI farming https   t co twPx6J3f1c,0,0,2022-12-31 08:24:14+00:00
 Ash_with_earth Lost their farming lands and homes and had to start subsisting on more meats  dairy and eggs   A great example of this were the famines in Ireland  which are caused by British beef ranching every land available while peasants got the bogs ,1,0,2022-12-31 03:41:53+00:00
80  of Finns want an end to the current method of fur farming in their country   While many European countries  including Ireland  have banned fur farms  Finland has about 500   https   t co vn1boQT8K6 https   t co TSIXqFtwlf,15,7,2022-12-30 22:51:06+00:00
 They just are not as exposed to farming as generations before so do not associate the two   https   t co jXHGKRvtwa,0,1,2022-12-30 19:30:23+00:00
 Kilsally  seamus_mckeegan It was same for IE but it s been discovered that they grow in Ireland too  Scotland is bemoaning it can no longer export to EU   https   t co F41Jdcpb6T,3,0,2022-12-30 18:57:58+00:00
Farming Life pointing out issues with the Northern Ireland protocol and that UK businesses cannot avail of import substitution  amp  increased demand surging the UK as UK government have not initiated customs checks on EU produce   SteveBakerHW  chhcalling  JamesCleverly  RishiSunak https   t co 3XQTTxotcY,10,4,2022-12-30 18:34:32+00:00
Northern Ireland protocol   Farming Life   Ulster Farmers Union  amp  Dairy Council  on the same page  on the NI Protocol  Ie parts of the Protocol work and other parts don t    SteveBakerHW  chhcalling  JamesCleverly  RishiSunak https   t co rp0HcHtAN5,0,0,2022-12-30 18:30:09+00:00
There were 26 work related fatalities in Ireland in 2022  the Health and Safety Authority has confirmed https   t co Y53MvpUlbi,1,0,2022-12-30 18:15:00+00:00
New herd health appointment for Northern Ireland   At AHV we are committed to working with dairy farmers    AD  AHVUK_IE  Farming  DairyFarms  HerdHealth  NorthernIreland  https   t co 1lrO6Myas7,0,0,2022-12-30 15:44:04+00:00
 enterprisepcare  mfletchertimes Shortages of workforce  NHS in crisis  Small businesses drowning in red tape  Political crisis in Northern Ireland  Farming and fishing in crisis   however allegedly the NHS is benefiting from  350million a week         nah not a disaster  ,0,0,2022-12-30 14:52:13+00:00
Alicia Temple explains the ACRES scheme in our Farming Year That Was   Part 2   This scheme is part of Ireland s new CAP Strategic Plan   Watch the full video for FREE  no credit card required   https   t co KTeK6tQGMz https   t co RHmQrrIACm,0,0,2022-12-30 14:12:50+00:00
2022 set to be warmest year on record for Ireland   Met Éireann https   t co 4JpmXGvtbO,0,1,2022-12-30 14:05:14+00:00
Gardiner wants to see clear guidance given to farmers and landowners    https   t co 29MqvZD5yw,0,0,2022-12-30 14:00:23+00:00
 RuthDE Slab is a great fella persecuted by the British his one and only love was farming and Ireland   ,5,0,2022-12-30 13:14:40+00:00
Ash dieback  Is Northern Ireland at point of no return   WoodlandTrust  https   t co aKRy6HGPVc,3,1,2022-12-30 07:36:55+00:00
Ash dieback  Is Northern Ireland at point of no return    https   t co JUYYSvwbwm https   t co 5tkHs1R2Fc,1,0,2022-12-30 07:35:21+00:00
 paulmurphy68 It s just someone stuck in a room tweeting nonsense  I travel a lot  have lived in a farming community  Simply look at the lorries on the roads  count them the next time you are on a motorway   Farming and trade are fine here and depend on all Ireland trade ,9,1,2022-12-29 23:17:08+00:00
Lamb and I chilling   watching  Eastenders For more farming fun try my book  Stuck In The Middle With Ewe Or how I lost my heart and found my flock in Northern Ireland by Holly Crawford  WalfordWeekly  WalfordCentral  IrishCountryMag  WaterstoneStAlb  WHSmith https   t co PvosdDZGm4,4,0,2022-12-29 23:08:15+00:00
According to the DAFM  Ireland has not recorded a confirmed BVD positive since May 2021 https   t co NHtMxWtWTv,0,0,2022-12-29 20:40:11+00:00
Inside Ireland s most automated dairy farm  https   t co hSBez184iW,2,0,2022-12-29 15:47:00+00:00
Ireland s bovine population third highest in EU in 2021   https   t co JUYYSvwbwm https   t co updSFlE4VI,0,1,2022-12-29 15:45:23+00:00
 23Finto  logical_conor No fish stocks left are you actually having a laugh   the whole of Europes top fishing fleets are camped west of Ireland making billions   fishing farming requires killing more kg of fish the is produced and pollutes inshore waters  ,0,0,2022-12-29 14:04:38+00:00
At the outset  BVD was costing Irish livestock farmers in the region  102 million each year https   t co HPqpqn289u,0,0,2022-12-29 13:52:37+00:00
Carbon credits to rewet Ireland s bogs  https   t co 7RTWE5AJ0z,0,0,2022-12-29 11:49:50+00:00
 TSBeeston As someone who had a WH Visa to Australia in 2014 15 it s an amazing experience  You ll meet loads of 20 somethings from Ireland  France  Germany  Sweden all doing the same thing  Definitely do the specified regional work  fishing  farming  mining  that allows you to apply again,3,0,2022-12-29 11:20:55+00:00
New herd health appointment for Northern Ireland   At AHV we are committed to working with dairy farmers    AD  AHVUK_IE  Farming  DairyFarms  HerdHealth  NorthernIreland  https   t co TtuXabK6rX,0,0,2022-12-29 11:19:05+00:00
Carbon credits to rewet Ireland s bogs   https   t co JHT0oeFga0,0,0,2022-12-29 08:59:02+00:00
 pbleighton001  MatthewStadlen well  i wouldnt be so sure about  wages   in social  care etc  certainly  in ireland post pandemic im seeing much higher wages in ads posted for care assistants  etc  Farming  that depends  on lots of low cost labour  simply mighten  be profitable  any more  ,0,0,2022-12-28 22:14:46+00:00
Donaghcloney Together  Farming  amp  Food Event  Join us on Saturday 21st January at 7 30pm in the Presbyterian Hall  Food will be provided   amp  Rural Chaplain for Presbyterian Church in Ireland Kenny Hanna   will  speak about his work in sale yards and farms across the country    https   t co Fg0tqyjpRb,0,1,2022-12-28 20:12:32+00:00
 Applications for 36 new intensive pig and poultry farms and expansions are pending approval in Ireland  changes that would add millions of animals and compound existing problems    in the country        Sentient_Media   animals  ireland  pigs  farming  https   t co LtNamc5cou,54,32,2022-12-28 19:15:05+00:00
Ireland s farmers have space for nature https   t co BqHxGy3x1g,1,1,2022-12-28 17:50:03+00:00
State aid  EU Commission approves  200m budget increase for Ireland https   t co 7nTYIIXz3I,1,0,2022-12-28 17:46:52+00:00
Can we call it copper s miracle    5D  gaia  motherearth  Earth  Ireland  farming https   t co GMnixZ0bsd,0,0,2022-12-28 16:00:54+00:00
Carbon credits to rewet Ireland s bogs  https   t co kMmtxxzdxG,0,3,2022-12-28 14:43:12+00:00
 anuskills3 Irish potatoes farming in Ireland    ,3,0,2022-12-28 08:22:57+00:00
New AHV appointment for Northern Ireland   A proactive approach is needed now   not a reactive one  Farmers want healthier cows that are more efficient    AD  AHVUK_IE  Farming  DairyFarms  HerdHealth  NorthernIreland  https   t co TU9Vb9EHiw,0,0,2022-12-28 07:54:02+00:00
 Off_My_Rockerr  watsonmarkj  stats_feed And yes Indians can be famers   google   Microsoft CEO to United Kingdom  amp  Ireland prime minister to USA vice president to great mathamatician like Aryabhatta to s ranujan and many more  you count farming is a small job that s enough to know how your parents teach you manners       https   t co YMwS2hcTQr,1,0,2022-12-27 23:58:21+00:00
I ve heard first hand accounts from several elders about relationships with the farming and rural communities in ireland from the 40s  50s and 60s  obviously long before that too    They have all said one thing in common  Travellers would have starved had it not been for them ,461,23,2022-12-27 18:26:35+00:00
 KBtractorrun Some side shots of the MANY Tractors that took part in the 10th Annual Kilbrittain Tractor Run for Autism along the  WildAtlanticWay in  WestCork             tractorrun  charity  farming  Cork  Ireland  corkbeo  pure_cork  wildatlanticway  C103Cork  PaudieP  SouthernStarIRL https   t co 7clMluoDbu,14,6,2022-12-27 17:24:11+00:00
Why I became the first farmer in Ireland to feed a methane reducing additive  https   t co OdY5XiG6gu,0,0,2022-12-27 15:40:00+00:00
